127.0.0.1 - - [17/Jan/2024:09:36:54 +0900] "GET / HTTP/1.1" 404 807
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:11 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/js/javascript30.js HTTP/1.1" 200 4150
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
127.0.0.1 - - [17/Jan/2024:09:42:12 +0900] "GET /k20240109_1_javascript/30_javascript_%EB%B0%B0%EC%97%B4%EB%B0%8F%EA%B0%9D%EC%B2%B4.html HTTP/1.1" 200 660
